country_code	name	include_code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	last.observed
12	North Karelia	2	-1.2092430138733152e-4	0.0014818880351262348	9.687641962267456e-4	3.712783440985853e-4	-0.0017458386299531352	-0.004250483506157191	-0.0059121621621621625	-0.006237580039743873	-0.007067569745022975	-0.005604093229694969	-0.0039889865604441485	-0.003229523177078899	-0.0036219071194716007	-0.0018423287954268922	-0.0013077543495794445	-5.432960732409344e-4	-0.003591433851001836	-0.0032720455524633497	-0.0015038385918921449	-4.1129534531182065e-5	0.001600593160994957	6.184546878865341e-4	4.1830404223103343e-4	7.669797517345542e-5	0.0015019631959884573	-1.7762410003789315e-4	-2.1980763861247915e-4	-0.0016169547550999707	2.162928605331619e-4	-7.247733573313845e-4	4.377831149484693e-4	0.0039990950060231015	0.002958090653535929	0.006023132767318814	0.005803315652318554	0.0023443621175759295	2021
13	Central Finland	2	0.0034438175369785346	0.004054388521994665	0.0015868683718028697	5.548678987579496e-4	1.4314176838114398e-4	-5.281581544534913e-4	0.0013627019993994872	9.162880748365825e-4	-3.5173708417603677e-4	1.5281523873560672e-4	0.0013544138630935576	0.0026607285600091356	4.6286811293981957e-4	0.0027246304317345552	0.002528912643053417	5.299815446142975e-4	2.024215616448626e-4	0.0020044585152020383	0.002626885275263248	0.0017873864768048516	0.0013471751882899387	0.00179649775161113	0.0019273634109918565	-5.316749962416078e-4	2.931358574773461e-5	0.001512898097338325	0.0027537429693614097	0.0012960461465444854	6.793800839363136e-4	8.416183955826012e-4	0.0014950640898797353	0.002666744920529534	0.003916635800544955	0.00755771058997126	0.006301437035031159	0.0018714977819285549	2021
14	South Ostrobothnia	2	-3.3905857963517297e-4	-2.8984107047968697e-4	-1.9773520844184656e-4	-8.231363903303136e-4	-0.004055575333634816	-0.006992299314745029	-0.00573892963868514	-0.006547769955340601	-0.004967951075735507	-0.004420134525833395	-0.0060692468391402065	-0.005932279370012851	-0.0021789329740181025	-5.522365580601436e-4	3.4167592038951053e-4	-0.001446146121014311	-0.0010459830228909362	8.156031939423842e-4	-0.0018860238091645669	-6.297165771629505e-4	5.038367165968853e-5	8.918269351888708e-4	5.335454092444292e-4	-3.920701302879202e-4	-0.0021324642535620704	-0.0036571463161186833	-0.0025535666333959903	-0.002986183179700059	-0.003420542685202702	-0.0027841248276004034	-0.0015475629764967107	0.0013739266198282592	0.0010690334894296054	0.004874878128046799	0.0021727835246327524	0.0026062370675357634	2021
15	Ostrobothnia	2	-0.0019781682162317692	1.7952461880939274e-5	4.6481970358805056e-4	-8.314576045706412e-4	-0.0025607891024197085	-0.002452127250004442	-0.001817772725119606	-0.002372514332708157	-0.0024679813451386093	-0.0043643814362782545	-0.0026733837909770327	-0.001558809355235993	-0.0016370411820032622	-7.384424818813608e-4	5.296168906132844e-4	-3.920147777691983e-4	0.0013465177390365576	0.0022639947981320566	0.0038888986944831767	0.0035322876826087467	0.0016852137025307262	0.004925396430821882	0.0012057185508411322	0.002746356786075971	0.0022503275793311684	0.0016674796102408203	-0.0021594853415039515	-0.00219545179342383	-5.616320232368159e-4	-0.0017991634173888861	-3.922170495046128e-4	0.001774582518087091	0.003947943944876478	0.009471254459145999	0.007972883188252384	0.005628003513306368	2021
16	Central Ostrobothnia	2	-0.00313175422345728	-8.502653414255138e-4	-6.569055369837817e-4	4.645288661140709e-4	-0.0012551395801774507	-0.008258290605655852	-0.00914594687872992	-0.006819528123329433	-0.006693614986743165	-0.009873060648801129	-0.007213402589801741	-0.008684535355316523	-0.005039086166895716	-0.004385380090967006	-0.0038255660503254698	-6.382757648176461e-4	-0.0032538602614920428	-2.6614620298083747e-4	-0.0016789890718430587	-0.0022944213204688854	-7.485579251735627e-4	-0.0014051316579089884	-0.0015770106886280008	-0.002055094009619589	-9.02776766603084e-4	8.281032078103208e-4	-0.0026944025958975546	-0.003940487055789764	-0.005757487641756325	-0.0040182941975831785	-0.0022301123859268172	-6.765899864682003e-4	3.975557682397114e-4	0.0019172627387360815	0.0016534782095193102	-9.450260620468674e-4	2021
17	North Ostrobothnia	2	-2.842442548206677e-4	0.001559297489445523	0.001056234608345948	-4.088811220146077e-4	-0.0010822601152370539	1.1057329489068448e-4	-0.00157500624240279	-0.0029272182142876645	-0.002656787192979113	-0.0013005631248269084	0.0020955744172275145	0.001076108512528211	-8.822384869210143e-4	-0.001021098277393945	0.0012325054169536795	7.726720308440198e-4	-3.3523211575642916e-4	5.680057833316121e-5	1.7946969269660906e-5	2.3685095198801992e-4	1.0872038633662865e-4	8.886992104635545e-4	1.6450607052325393e-4	7.551000198059021e-4	-1.8205077740602243e-4	-8.665087042512777e-4	-5.730952508693977e-4	-9.558555271798613e-4	-8.765199487199409e-4	2.838696528783655e-4	9.398541772642492e-4	0.0037044196892443756	0.002658787352353087	0.004582960222594066	8.919070790640954e-4	-6.860596035197009e-4	2021
18	Kainuu	2	-0.0030824806939367066	-0.004683156858715755	-0.004447337021368912	-0.004358221932398652	-0.007930801577445148	-0.008582375478927203	-0.00971568940637358	-0.013117121119564614	-0.01164281857451404	-0.010245551722960282	-0.012318415513612367	-0.0129350564523654	-0.009917511864326545	-0.0061693640164356646	-0.0045562215991491834	-0.007006106016007006	-0.007231721517435803	-0.004657038816913968	-0.00432571243361839	-0.0035889070146818925	-0.004972612767246384	-0.005654168201974512	-0.00370588838736151	-0.005423903919416284	-0.0054960798103722225	-0.005491401621145838	-0.0022038128617704847	-0.0052136946379155915	-0.0057058640598169254	-0.004051409096508397	-5.117141039471136e-4	0.00213496316141996	2.666479545295067e-4	0.005601168446278414	0.0014537369591243372	0.0035181435689771536	2021
19	Lapland	2	-0.001880253834267626	-8.421619143486451e-4	-3.8680499077618866e-4	-0.0016993276787875494	-0.006619187264348555	-0.007112319288273817	-0.007308438963115222	-0.009562317092018605	-0.013895936217351332	-0.012702965211775415	-0.014108421832551248	-0.013297317592090442	-0.007623304171421326	-0.004420136651453586	-0.0028675829378815194	-0.003856406515664305	-0.004418729817007535	-0.002968610592911023	-0.001957806822495797	-0.0013644047987910613	-0.0016979776650630212	-9.046913149633763e-4	-0.0016091201658211967	-9.571000415654875e-4	-0.0026682884600633377	-0.0030756872152650923	-3.759855798471729e-4	-0.0026192101305720643	3.9057487041283765e-4	-0.0033665318560177457	0.001049892470690502	0.003237766394022585	0.002793296089385475	0.007747660627435365	0.005461254612546125	0.006176519009259101	2021
21	Åland	2	0.008666584127770213	0.005649487888148268	0.003702660280919226	-1.600448125475133e-4	4.78049557804159e-4	-0.0022656808967326495	8.332672010157924e-4	0.0028902878409945757	0.005867989918084436	0.0036292682926829267	0.0026841982416556448	0.00659528243327126	0.00849738541987081	0.003770423125261835	0.006566212472008198	0.007727101394647569	0.0032877531196293806	0.006574304498012852	0.009133429087025375	0.00921474358974359	0.008076728924785462	0.01188988467168922	0.006242505466600832	0.005157713764429318	0.008267634131026304	0.0025591368100705493	0.008073698374909429	0.008009858287122612	0.009868086405100207	0.0027862633858135553	0.0071944853433275335	0.006173454147167181	0.003625098866332718	0.006027866530518133	0.00743263154448119	0.006622300515430286	2021
246	Finland	0	0.0014234931246749597	0.0026041927162628303	0.0016899973394323565	0.0016597487389668252	5.787811998317419e-4	6.40352525342466e-4	5.290389002870139e-4	7.228699691367647e-4	6.556773205003197e-4	5.384090303869684e-4	4.99680738042373e-4	0.0011198361742597877	0.0010050239648455284	0.0011053926064504606	0.0012791844485502322	0.0017159953259846875	0.001968193805441074	0.0025745908388455085	0.002916148789431305	0.0027313447911632696	0.0025658576674969123	0.0031293276847551644	0.003227576048360505	0.003325794031482267	0.0029389481717104456	0.0022736771926656777	0.0030658020289730413	0.0026936580017396846	0.0021702735106917488	0.0028081238597377016	0.003224082998690386	0.004139113985651433	0.006193494478700547	0.01040875489982872	0.008396190405490795	0.005541724753374352	2021
